Date,Open,High,Low,Close,Adj Close,Volume
05/17/2011,132.690002,133.350006,132.119995,133.169998,133.169998,192686200
05/18/2011,133.240005,134.5,132.949997,134.360001,134.360001,135217900
05/19/2011,134.800003,135.029999,133.940002,134.679993,134.679993,119489500
05/20/2011,134.330002,134.679993,133.360001,133.610001,133.610001,182594900
05/23/2011,131.979996,132.720001,131.589996,132.059998,132.059998,168700000
05/24/2011,132.440002,132.729996,131.699997,131.949997,131.949997,147199600
05/25/2011,131.419998,132.940002,131.380005,132.389999,132.389999,151050100
05/26/2011,132.029999,133.240005,131.779999,133,133,164850000
05/27/2011,133.369995,133.869995,132.960007,133.509995,133.509995,120921900
05/31/2011,134.770004,134.919998,133.839996,134.899994,134.899994,164731200
06/01/2011,134.509995,134.919998,131.759995,131.869995,131.869995,233094300
06/02/2011,131.960007,132.240005,130.960007,131.729996,131.729996,200466800
06/03/2011,130.149994,131.419998,130.080002,130.419998,130.419998,234690200
06/06/2011,130.089996,130.360001,128.869995,129.039993,129.039993,179951200
06/07/2011,129.699997,130.070007,128.850006,128.960007,128.960007,161660500
06/08/2011,128.759995,129.190002,128.179993,128.419998,128.419998,198696400
06/09/2011,128.770004,129.929993,128.460007,129.399994,129.399994,160964400
06/10/2011,128.850006,128.929993,127.260002,127.599998,127.599998,238629400
06/13/2011,127.889999,128.240005,127.050003,127.699997,127.699997,207599800
06/14/2011,128.869995,129.770004,128.820007,129.320007,129.320007,160570400
06/15/2011,128.240005,129.300003,126.68,127.019997,127.019997,300958000
06/16/2011,127.059998,127.970001,126.32,127.300003,127.300003,308032800
06/17/2011,127.93,127.940002,126.620003,127.050003,127.050003,233284900
06/20/2011,126.620003,127.970001,126.580002,127.699997,127.699997,159479000
06/21/2011,128.360001,129.699997,127.75,129.449997,129.449997,193157300
06/22/2011,129.050003,129.809998,128.589996,128.669998,128.669998,176703000
06/23/2011,127.160004,128.639999,126.190002,128.300003,128.300003,334286500
06/24/2011,128.270004,128.369995,126.620003,126.809998,126.809998,226129300
06/27/2011,126.889999,128.429993,126.639999,127.940002,127.940002,168904700
